群青,ぐんじょう,gunjo
嗚呼、いつもの様に,ああいつものように,aaitsumonoyoni
過ぎる日々にあくびが出る,すぎるひびにあくびがでる,sugiruhibiniakubigaderu
さんざめく夜、越え、今日も,さんざめくよるこえきょうも,sanzamekuyorukoekyomo
渋谷の街に朝が降る,しぶやのまちにあさがふる,shibuyanomachiniasagafuru
どこか虚しいような,どこかむなしいような,dokokamunashiiyona
そんな気持ち,そんなきもち,sonnakimochi
つまらないな,つまらないな,tsumaranaina
でもそれでいい,でもしれでいい,demoshiredeii
そんなもんさ,そんなもんさ,sonnamonsa
これでいい,これでいい,koredeii
知らず知らず隠してた,しらずしらずかくしてた,shirazushirazukakushiteta
本当の声を響かせてよ、ほら,ほんとうのこえをきかせてよほら,hontonokoeokikaseteyohora
見ないフリしていても,みないふりしていても,minaifurishiteitemo
確かにそこにある,たしかにそこにある,tashikanisokoniaru
感じたままに描く,かんじたままにえがく,kanjitamamaniegaku
自分で選んだその色で,じぶんでえらんだそのいろで,jibunderandasonoirode
眠い空気纏う朝に,ねむいくうきまとうあさに,nemuikukimatoasani
訪れた青い世界,おとずれたあおいせかい,otozuretaaoisekai
好きなものを好きだと言う,すきなものをすきだという,sukinamonosukidatoiu
怖くて仕方ないけど,こわくてしかたないけど,kowakuteshikatanaikedo
本当の自分,ほんとうのじぶん,hontonojibun
出会えた気がしたんだ,であえたきがしたんだ,deaetakigashitanda
嗚呼、手を伸ばせば伸ばすほどに,ああてをのばせばのばすほどに,aateonobasebanobasuhodoni
遠くへゆく,とおくへゆく,tokuheyuku
思うようにいかない、今日も,おもうようにいかないきょうも,omoyoniikanaikyomo
また慌ただしくもがいてる,またあわただしくもがいている,mataawatadashikumogaiteiru
悔しい気持ちも,くやしいきもちも,kuyashiikimochimo
ただ情けなくて,ただなさけなくて,tadanasakenakute
涙が出る,なみだがでる,namidagaderu
踏み込むほど,ふみこむほど,fumikomuhodo
苦しくなる,くるしくなる,kurushikunaru
痛くもなる,いたくもなる,itakumonaru
感じたままに進む,かんじたままにすすむ,kanjitamamanisusumu
自分で選んだこの道を,じぶんでえらんだこのみちを,jibunderandakonomichio
重いまぶた擦る夜に,おもいまぶたこするよるに,omoimabutakosuruyoruni
しがみついた青い誓い,しがみついたあおいちかい,shigamitsuitaaoichikai
好きなことを続けること,すきなことをつづけること,sukinakototsuzukerukoto
それは「楽しい」だけじゃない,それはたのしいだけじゃない,sorehatanoshiidakejanai
本当にできる？,ほんとうにできる？,hontonidekiru？
不安になるけど,ふあんになるけど,fuanninarukedo
何枚でも,なんまいでも,nammaidemo
ほら何枚でも,ほらなんまいでも,horanammaidemo
自信がないから描いてきたんだよ,じしんがないからえがいてきたんだよ,jishinganaikaraegaitekitandayo
何回でも,なんかいでも,nankaidemo
ほら何回でも,ほらなんかいでも,horanankaidemo
積み上げてきたことが武器になる,つみあげてきたことがぶきになる,tsumiagetekitakotogabukininaru
周りを見たって,まわりもみたって,mawarimomitatte
誰と比べたって,だれとくらべたって,daretokurabetatte
僕にしかできないことはなんだ,ぼくにしかできないことはなんだ,bokunishikadekinaikotohananda
今でも自信なんかない,いまでもじしんなんかない,imademojishinnankanai
それでも,それでも,soredemo
感じたことない気持ち,かんじたことないきもち,kanjitakotonaikimochi
知らずにいた想い,しらずにいたおもい,shirazuniitaomoi
あの日踏み出して,あのひふみだして,anohifumidashite
初めて感じたこの痛みも全部,はじめてかんじたこのいたみもぜんぶ,hajimetekanjitakonoitamimozembu
好きなものと向き合うことで,すきなものとむきあうことで,sukinamonotomukiaukotode
触れたまだ小さな光,ふれたまだちいさなひかり,furetamadachiisanahikari
大丈夫、行こう、あとは楽しむだけだ,だいじょうぶいこうあとはたのしむだけだ,daijobuikoatohatanoshimudakeda
